Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u1	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u2	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSE-EE-PSOE	Partido Socialista de Euskadi - Euskadiko Ezkerra - Partido Socialista Obrero Español	Coalition	Centre-left	MaríaLuisaGarcíaGurrutxaga	García Gurrutxaga, María Luisa	F	1959	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u3	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u4	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u5	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Guest	notMP	notMinister	-	-	-	-	MaríaLuisaDomínguezGonzález	Domínguez González, María Luisa	F	-	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u6	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u7	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Guest	notMP	notMinister	-	-	-	-	RosaDávilaMamely	Dávila Mamely, Rosa	F	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u8	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u9	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Guest	notMP	notMinister	-	-	-	-	InakiÁlvaroLavandera	Álvaro Lavandera, Inaki	M	-	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u10	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u11	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Guest	notMP	notMinister	-	-	-	-	MaríaFernándezPérez	Fernández Pérez, María	M	1975	
