Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u1	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u2	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSE-EE-PSOE	Partido Socialista de Euskadi - Euskadiko Ezkerra - Partido Socialista Obrero Español	Coalition	Centro-izquierda	MaríaLuisaGarcíaGurrutxaga	García Gurrutxaga, María Luisa	F	1959	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u3	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u4	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u5	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Orador/a invitado/a	notMP	notMinister	-	-	-	-	MaríaLuisaDomínguezGonzález	Domínguez González, María Luisa	F	-	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u6	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u7	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Orador/a invitado/a	notMP	notMinister	-	-	-	-	RosaDávilaMamely	Dávila Mamely, Rosa	F	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u8	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u9	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Orador/a invitado/a	notMP	notMinister	-	-	-	-	InakiÁlvaroLavandera	Álvaro Lavandera, Inaki	M	-	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u10	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u11	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Orador/a invitado/a	notMP	notMinister	-	-	-	-	MaríaFernándezPérez	Fernández Pérez, María	M	1975	
