Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u1	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u2	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	JoséFranciscoDuqueMorán	Duque Morán, José Francisco	M	1965	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u3	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u4	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u5	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u6	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	MartaRosiqueiSaltor	Rosique i Saltor, Marta	F	1996	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u7	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u8	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	MartaRosiqueiSaltor	Rosique i Saltor, Marta	F	1996	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u9	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u10	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centro-derecha - Derecha	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u11	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u12	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Izquierda - Extrema izquierda	AlbertBotranPahissa	Botran Pahissa, Albert	M	1984	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u13	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u14	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centro-izquierda - izquierda	IñakiRuizDePinedoUndiano	Ruiz De Pinedo Undiano, Iñaki	M	1954	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u15	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u16	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centro	JosuneGorospeElezcano	Gorospe Elezcano, Josune	F	1969	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u17	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u18	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Cs	Ciudadanos	Opposition	Centro-derecha	GuillermoDíazGómez	Díaz Gómez, Guillermo	M	1978	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u19	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u20	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centro-derecha	ConcepCañadellSalvia	Cañadell Salvia, Concep	F	1977	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u21	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u22	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centro-derecha	MarionaIllamolaDausà	Illamola Dausà, Mariona	F	1967	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u23	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u24	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	UP	Unidas Podemos	Coalition	Izquierda	LucíaMuñozDalda	Muñoz Dalda, Lucía	F	1993	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u25	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u26	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	JuanLuisSteegmannOlmedillas	Steegmann Olmedillas, Juan Luis	M	1955	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u27	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u28	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	EduardoCarazoHermoso	Carazo Hermoso, Eduardo	M	1990	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u29	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u30	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfredoSanchoGuardia	Sancho Guardia, Alfredo	M	1966	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u31	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u32	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u33	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centro-derecha	JosepPagèsiMassó	Pagès i Massó, Josep	M	1972	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u34	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u35	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centro-derecha - Derecha	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u36	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u37	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centro-derecha - Derecha	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u38	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u39	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u40	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u41	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Izquierda - Extrema izquierda	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES_2023-02-21-CD230221	ParlaMint-ES_2023-02-21-CD230221.u42	Sesión plenaria núm. 237 (2023-02-21)	2023-02-21	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 237	-	2023-02-21	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
