speaker_id,gender,n_interventions
1582.VII,F,17
1438.VII,M,56
677.VII,M,196
1624.VII,M,28
1527.VII,M,89
1594.VII,M,102
1117.VII,M,15
1311.VII,M,65
1364.VII,F,132
1433.VII,F,93
1491.VII,M,37
1539.VII,M,24
1320.VII,F,1
1173.VII,M,15
1617.VII,M,68
1504.VII,F,6
1470.VII,F,2
1123.VII,M,45
1526.VII,F,12
1608.VII,M,9
1366.VII,F,32
1207.VII,F,13
1586.VII,F,3
1426.VII,M,4
366.VII,M,106
1317.VII,M,33
1487.VII,M,10
1410.VII,M,100
1092.VII,F,25
1456.VII,M,35
1249.VII,M,59
1370.VII,F,19
1571.VII,M,32
1262.VII,F,70
1363.VII,F,16
552.VII,M,332
794.VII,M,52
563.VII,M,105
1531.VII,M,131
919.VII,M,224
1457.VII,F,6
732.VII,M,127
1027.VII,M,8
1257.VII,M,6
1099.VII,M,107
1463.VII,M,17
1206.VII,M,107
1269.VII,M,105
686.VII,M,42
1563.VII,F,17
1399.VII,M,4
1578.VII,F,8
1508.VII,F,26
888.VII,M,32
791.VII,M,146
1174.VII,F,2
663.VII,M,10
1272.VII,M,19
974.VII,M,88
1151.VII,M,2
1497.VII,F,2
1584.VII,M,35
198.VII,M,28
1348.VII,M,63
906.VII,M,98
1623.VII,M,23
1202.VII,M,24
1565.VII,M,64
1588.VII,M,72
1421.VII,M,54
159.VII,M,25
1209.VII,M,1
1452.VII,M,20
1204.VII,M,89
1455.VII,M,109
554.VII,M,27
897.VII,M,21
1590.VII,F,2
1476.VII,F,20
1583.VII,F,12
1568.VII,F,3
678.VII,M,9
1449.VII,M,45
443.VII,M,26
676.VII,M,2
1532.VII,M,46
1374.VII,F,1
1770.VII,F,108
1459.VII,M,17
1050.VII,F,7
1628.VII,F,3
1465.VII,M,10
795.VII,M,1
1171.VII,M,1
1581.VII,M,4
1359.VII,M,70
3012.VII,M,6
1445.VII,F,1
1481.VII,F,36
1573.VII,F,20
1477.VII,F,19
1394.VII,M,2
1495.VII,M,1
1443.VII,M,2
590.VII,F,22
1832.VII,M,103
1522.VII,M,25
1440.VII,M,16
1422.VII,M,63
1361.VII,M,3
1574.VII,F,23
1610.VII,F,19
1377.VII,M,12
2058.VII,M,2
1589.VII,M,9
1323.VII,F,5
1523.VII,M,21
1329.VII,F,12
1245.VII,M,3
1551.VII,M,1
638.VII,M,33
1189.VII,M,41
1162.VII,M,42
1454.VII,M,7
1550.VII,M,1
1467.VII,M,4
1670.VII,F,45
1306.VII,M,2
1493.VII,F,2
1328.VII,F,2
1642.VII,M,29
1403.VII,F,12
1627.VII,F,2
1367.VII,M,12
1412.VII,F,4
1494.VII,F,3
1515.VII,M,18
1488.VII,M,7
1289.VII,M,9
684.VII,M,26
1453.VII,M,34
1408.VII,M,31
1460.VII,M,10
1079.VII,F,25
938.VII,M,65
900.VII,M,15
1541.VII,M,1
1298.VII,M,2
1150.VII,M,44
1464.VII,F,6
1251.VII,M,7
1543.VII,F,9
1514.VII,F,2
1431.VII,F,13
1051.VII,M,1
665.VII,M,9
1398.VII,M,3
1567.VII,M,4
707.VII,M,17
1528.VII,M,10
1135.VII,M,41
589.VII,M,21
1546.VII,M,6
1602.VII,F,2
1556.VII,F,1
1183.VII,M,18
1349.VII,M,1
1110.VII,M,2
1500.VII,M,6
1614.VII,M,14
1533.VII,F,20
1486.VII,M,12
1216.VII,M,3
1158.VII,F,4
1530.VII,M,19
1199.VII,M,44
1592.VII,M,1
1616.VII,M,6
1417.VII,F,3
1510.VII,F,2
1786.VII,F,33
987.VII,M,1
1613.VII,F,23
1308.VII,M,6
610.VII,M,26
854.VII,M,8
1281.VII,M,10
1368.VII,M,5
1577.VII,M,6
1290.VII,M,8
845.VII,M,5
1513.VII,F,1
1469.VII,M,4
1593.VII,M,3
1484.VII,M,23
1579.VII,M,1
1193.VII,M,3
1475.VII,F,1
1201.VII,F,2
1501.VII,F,4
1441.VII,M,4
1535.VII,M,2
1561.VII,F,14
1591.VII,M,1
1558.VII,M,19
1555.VII,F,4
1442.VII,M,3
356.VII,M,7
1615.VII,F,2
1516.VII,F,1
1480.VII,F,5
1222.VII,M,7
826.VII,M,17
1235.VII,M,5
1018.VII,F,1
1607.VII,M,2
1391.VII,F,5
1264.VII,M,5
1620.VII,M,1
1192.VII,M,11
1595.VII,M,1
1600.VII,F,3
1629.VII,M,3
1450.VII,M,9
307.VII,M,5
1087.VII,F,6
1468.VII,F,2
1180.VII,M,1
1212.VII,M,2
1537.VII,M,3
1244.VII,M,47
1625.VII,F,2
1609.VII,F,3
1599.VII,M,1
1397.VII,F,3
1472.VII,M,1
822.VII,M,7
1548.VII,F,2
1462.VII,M,2
1505.VII,F,2
1597.VII,F,17
1598.VII,M,2
989.VII,M,4
1618.VII,M,1
1520.VII,F,1
1354.VII,M,2
1604.VII,M,2
1482.VII,F,1
1559.VII,F,2
1562.VII,M,1
1315.VII,F,1
1580.VII,M,7
1576.VII,F,1
1569.VII,F,1
1473.VII,M,3
1517.VII,F,1
227.VII,M,1
1406.VII,F,16
231.VII,M,2
1020.VII,F,1
76.VII,M,18
1322.VII,F,6
1451.VII,F,1
322.VII,M,2
1124.VII,M,8
1474.VII,M,1
1557.VII,F,16
1489.VII,F,1
1139.VII,M,12
1512.VII,M,8
1197.VII,M,7
1566.VII,M,3
1434.VII,F,11
43.VII,M,1
550.VII,M,2
1521.VII,M,1
1701.VII,F,9
1471.VII,F,3
1378.VII,F,1
1506.VII,M,3
1385.VII,F,5
1564.VII,F,2
1552.VII,M,1
1177.VII,M,1
1496.VII,F,1
1297.VII,M,5
805.VII,M,1
1147.VII,M,1
945.VII,M,10
1382.VII,M,2
1190.VII,M,6
1448.VII,F,4
1466.VII,M,2
1534.VII,M,1
1518.VII,M,4
1492.VII,M,1
1239.VII,M,1
701.VII,M,1
1560.VII,M,1
1631.VII,F,3
1479.VII,F,1
1554.VII,F,3
1371.VII,M,1
1400.VII,M,2
1808.X,M,50
1206.X,M,207
1970.X,F,28
2114.X,M,40
2140.X,F,2
956.X,M,92
1915.X,F,10
1201.X,F,74
1823.X,M,14
906.X,M,146
1912.X,F,15
1457.X,F,102
1553.X,M,11
1670.X,M,34
3007.X,M,14
2215.X,F,23
1831.X,M,33
1249.X,M,73
1135.X,M,40
2123.X,F,45
1684.X,M,48
2028.X,M,98
2157.X,F,71
1765.X,F,32
2024.X,M,9
1977.X,M,16
1366.X,F,20
2075.X,M,10
2019.X,M,125
1688.X,F,122
1811.X,M,85
2056.X,M,54
895.X,M,184
2010.X,M,99
2055.X,M,116
1311.X,M,63
1225.X,M,77
3004.X,M,65
1648.X,F,44
2167.X,M,40
2111.X,F,63
2115.X,M,57
2107.X,F,11
1456.X,M,90
2134.X,M,96
2047.X,F,9
1740.X,M,1
1875.X,F,139
1792.X,F,67
2094.X,F,1
1787.X,F,82
2015.X,F,19
2185.X,M,93
2165.X,M,19
2054.X,M,17
2090.X,M,24
1272.X,M,7
2190.X,F,61
1378.X,F,11
2135.X,M,25
1531.X,M,57
1984.X,F,28
